sp,family
Micromussa amakusensis,Lobophylliidae
Homophyllia bowerbanki,Lobophylliidae
Dipsastraea faviaformis,Merulinidae
Micromussa lordhowensis,Lobophylliidae
Sclerophyllia maxima,Lobophylliidae
Acanthastrea minuta,Lobophylliidae
Cynarina lacrymalis,Lobophylliidae
Acropora abrolhosensis,Acroporidae
Acropora abrotanoides,Acroporidae
Acropora aculeus,Acroporidae
Acropora acuminata,Acroporidae
Acropora donei,Acroporidae
Acropora anthocercis,Acroporidae
Acropora arabensis,Acroporidae
Acropora aspera,Acroporidae
Acropora austera,Acroporidae
Acropora awi,Acroporidae
Acropora nana,Acroporidae
Acropora batunai,Acroporidae
Acropora hyacinthus,Acroporidae
Isopora brueggemanni,Acroporidae
Acropora bushyensis,Acroporidae
Acropora carduus,Acroporidae
Acropora caroliniana,Acroporidae
Acropora cerealis,Acroporidae
Acropora cervicornis,Acroporidae
Acropora chesterfieldensis,Acroporidae
Acropora clathrata,Acroporidae
Acropora millepora,Acroporidae
Acropora muricata,Acroporidae
Isopora crateriformis,Acroporidae
Isopora cuneata,Acroporidae
Isopora togianensis,Acroporidae
Acropora cytherea,Acroporidae
Acropora dendrum,Acroporidae
Acropora derawanensis,Acroporidae
Acropora desalwii,Acroporidae
Acropora digitifera,Acroporidae
Acropora divaricata,Acroporidae
Acropora downingi,Acroporidae
Acropora echinata,Acroporidae
Acropora elegans,Acroporidae
Acropora elseyi,Acroporidae
Acropora florida,Acroporidae
Acropora gemmifera,Acroporidae
Acropora glauca,Acroporidae
Acropora globiceps,Acroporidae
Acropora grandis,Acroporidae
Acropora granulosa,Acroporidae
Acropora hemprichii,Acroporidae
Acropora hoeksemai,Acroporidae
Acropora horrida,Acroporidae
Acropora humilis,Acroporidae
Acropora papillare,Acroporidae
Acropora indonesia,Acroporidae
Acropora microphthalma,Acroporidae
Acropora selago,Acroporidae
Acropora jacquelineae,Acroporidae
Acropora kimbeensis,Acroporidae
Acropora kirstyae,Acroporidae
Acropora kosurini,Acroporidae
Acropora latistella,Acroporidae
Acropora loripes,Acroporidae
Acropora listeri,Acroporidae
Acropora loisetteae,Acroporidae
Acropora lokani,Acroporidae
Acropora longicyathus,Acroporidae
Acropora lovelli,Acroporidae
Acropora lutkeni,Acroporidae
Acropora tenuis,Acroporidae
Acropora squarrosa,Acroporidae
Acropora polystoma,Acroporidae
Acropora microclados,Acroporidae
Acropora palmerae,Acroporidae
Acropora monticulosa,Acroporidae
Acropora multiacuta,Acroporidae
Acropora nasuta,Acroporidae
Isopora palifera,Acroporidae
Acropora palmata,Acroporidae
Acropora paniculata,Acroporidae
Acropora valida,Acroporidae
Acropora pharaonis,Acroporidae
Acropora pichoni,Acroporidae
Acropora robusta,Acroporidae
Acropora plumosa,Acroporidae
Acropora pulchra,Acroporidae
Acropora speciosa,Acroporidae
Acropora retusa,Acroporidae
Acropora roseni,Acroporidae
Acropora rudis,Acroporidae
Acropora russelli,Acroporidae
Acropora samoensis,Acroporidae
Acropora sarmentosa,Acroporidae
Acropora secale,Acroporidae
Acropora simplex,Acroporidae
Acropora solitaryensis,Acroporidae
Acropora spicifera,Acroporidae
Acropora striata,Acroporidae
Acropora subglabra,Acroporidae
Acropora subulata,Acroporidae
Acropora suharsonoi,Acroporidae
Acropora tenella,Acroporidae
Acropora tortuosa,Acroporidae
Acropora turaki,Acroporidae
Acropora valenciennesi,Acroporidae
Acropora variolosa,Acroporidae
Acropora vaughani,Acroporidae
Acropora verweyi,Acroporidae
Acropora walindii,Acroporidae
Acropora willisae,Acroporidae
Acropora yongei,Acroporidae
Agaricia agaricites,Agariciidae
Agaricia grahamae,Agariciidae
Agaricia humilis,Agariciidae
Agaricia lamarcki,Agariciidae
Agaricia tenuifolia,Agariciidae
Alveopora allingi,Acroporidae
Alveopora catalai,Acroporidae
Alveopora daedalea,Acroporidae
Alveopora excelsa,Acroporidae
Alveopora fenestrata,Acroporidae
Alveopora gigas,Acroporidae
Alveopora marionensis,Acroporidae
Alveopora minuta,Acroporidae
Alveopora spongiosa,Acroporidae
Alveopora tizardi,Acroporidae
Alveopora verrilliana,Acroporidae
Alveopora viridis,Acroporidae
Anacropora forbesi,Acroporidae
Anacropora matthai,Acroporidae
Anacropora puertogalerae,Acroporidae
Anacropora reticulata,Acroporidae
Anacropora spinosa,Acroporidae
Anomastraea irregularis,Coscinaraeidae
Astreopora cucullata,Acroporidae
Astreopora expansa,Acroporidae
Astreopora gracilis,Acroporidae
Astreopora incrustans,Acroporidae
Astreopora listeri,Acroporidae
Astreopora macrostoma,Acroporidae
Astreopora moretonensis,Acroporidae
Astreopora myriophthalma,Acroporidae
Astreopora ocellata,Acroporidae
Astreopora randalli,Acroporidae
Astreopora scabra,Acroporidae
Astreopora suggesta,Acroporidae
Australogyra zelli,Merulinidae
Lobophyllia rowleyensis,Lobophylliidae
Dipsastraea amicorum,Merulinidae
Dipsastraea laddi,Merulinidae
Blastomussa wellsi,Mussidae
Cantharellus doederleini,Fungiidae
Cantharellus jebbi,Fungiidae
Cantharellus noumeae,Fungiidae
Catalaphyllia jardinei,Euphylliidae
Cladocora arbuscula,Faviidae
Coeloseris mayeri,Agariciidae
Colpophyllia natans,Faviidae
Coscinaraea columna,Coscinaraeidae
Coscinaraea crassa,Coscinaraeidae
Coscinaraea exesa,Coscinaraeidae
Coscinaraea monile,Coscinaraeidae
Cycloseris wellsi,Fungiidae
Ctenactis albitentaculata,Fungiidae
Ctenactis crassa,Fungiidae
Ctenactis echinata,Fungiidae
Lithophyllon spinifer,Fungiidae
Cycloseris tenuis,Fungiidae
Cycloseris fragilis,Fungiidae
Cyphastrea agassizi,Merulinidae
Cyphastrea chalcidicum,Merulinidae
Cyphastrea decadia,Merulinidae
Cyphastrea japonica,Merulinidae
Cyphastrea microphthalma,Merulinidae
Cyphastrea ocellina,Merulinidae
Cyphastrea serailia,Merulinidae
Dendrogyra cylindrus,Meandrinidae
Dichocoenia stokesii,Meandrinidae
Diploastrea heliopora,Diploastraeidae
Diploria labyrinthiformis,Faviidae
Duncanopsammia axifuga,Dendrophylliidae
Echinomorpha nishihirai,Lobophylliidae
Echinophyllia aspera,Lobophylliidae
Echinophyllia echinoporoides,Lobophylliidae
Pectinia maxima,Merulinidae
Echinophyllia orpheensis,Lobophylliidae
Echinophyllia patula,Lobophylliidae
Echinopora ashmorensis,Merulinidae
Echinopora forskaliana,Merulinidae
Echinopora fruticulosa,Merulinidae
Echinopora gemmacea,Merulinidae
Echinopora hirsutissima,Merulinidae
Echinopora horrida,Merulinidae
Echinopora lamellosa,Merulinidae
Echinopora mammiformis,Merulinidae
Echinopora pacifica,Merulinidae
Echinopora robusta,Merulinidae
Fimbriaphyllia ancora,Euphylliidae
Euphyllia cristata,Euphylliidae
Fimbriaphyllia divisa,Euphylliidae
Euphyllia glabrescens,Euphylliidae
Fimbriaphyllia paraancora,Euphylliidae
Fimbriaphyllia paradivisa,Euphylliidae
Fimbriaphyllia yaeyamensis,Euphylliidae
Eusmilia fastigiata,Meandrinidae
Dipsastraea albida,Merulinidae
Dipsastraea danai,Merulinidae
Dipsastraea favus,Merulinidae
Favia fragum,Faviidae
Dipsastraea helianthoides,Merulinidae
Dipsastraea lacuna,Merulinidae
Dipsastraea laxa,Merulinidae
Dipsastraea lizardensis,Merulinidae
Dipsastraea maritima,Merulinidae
Dipsastraea marshae,Merulinidae
Dipsastraea matthaii,Merulinidae
Dipsastraea maxima,Merulinidae
Dipsastraea pallida,Merulinidae
Dipsastraea rosaria,Merulinidae
Dipsastraea rotumana,Merulinidae
Favites rotundata,Merulinidae
Dipsastraea speciosa,Merulinidae
Goniastrea stelligera,Merulinidae
Dipsastraea truncata,Merulinidae
Dipsastraea veroni,Merulinidae
Dipsastraea vietnamensis,Merulinidae
Favites abdita,Merulinidae
Favites acuticollis,Merulinidae
Favites chinensis,Merulinidae
Favites complanata,Merulinidae
Favites flexuosa,Merulinidae
Favites halicora,Merulinidae
Favites micropentagonus,Merulinidae
Favites paraflexuosus,Merulinidae
Favites pentagona,Merulinidae
Paramontastraea peresi,Merulinidae
Paragoniastrea russelli,Merulinidae
Favites spinosa,Merulinidae
Favites stylifera,Merulinidae
Favites vasta,Merulinidae
Lithophyllon concinna,Fungiidae
Danafungia scruposa,Fungiidae
Cycloseris costulata,Fungiidae
Cycloseris curvata,Fungiidae
Cycloseris cyclolites,Fungiidae
Cycloseris distorta,Fungiidae
Fungia fungites,Fungiidae
Pleuractis granulosa,Fungiidae
Sinuorota hexagonalis,Fungiidae
Danafungia horrida,Fungiidae
Pleuractis moluccensis,Fungiidae
Pleuractis paumotensis,Fungiidae
Lithophyllon repanda,Fungiidae
Lithophyllon scabra,Fungiidae
Lobactis scutaria,Fungiidae
Pleuractis seychellensis,Fungiidae
Cycloseris sinensis,Fungiidae
Cycloseris somervillei,Fungiidae
Cycloseris vaughani,Fungiidae
Galaxea acrhelia,Euphylliidae
